date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2010-01-04,34.02,34.02,33.45,33.58,7567500,24.2545902010522,24.2545902010522,23.8482081782832,23.9408917975112,7567500,0.0,1.0
2010-01-05,34.13,34.18,33.81,34.08,8839200,24.3330148019374,24.3686623477943,24.1048705084531,24.2973672560805,8839200,0.0,1.0
2010-01-06,34.71,34.83,34.08,34.14,8092000,24.7465263338778,24.8320804439344,24.2973672560805,24.3401443111088,8092000,0.0,1.0
2010-01-07,34.44,34.58,34.16,34.54,5757300,24.5540295862504,24.6538427146497,24.3544033294516,24.6253246779642,5757300,0.0,1.0
2010-01-08,34.92,34.92,34.28,34.36,4642400,24.8962460264768,24.8962460264768,24.4399574395082,24.4969935128793,4642400,0.0,1.0
2010-01-11,34.73,35.38,34.575,35.36,9108500,24.7607853522205,25.2242034483606,24.6502779600641,25.2099444300178,9108500,0.0,1.0
2010-01-12,34.07,34.41,33.73,34.23,13162000,24.2902377469091,24.5326410587362,24.047834435082,24.4043098936513,13162000,0.0,1.0
2010-01-13,34.47,34.5,33.75,34.16,11943100,24.5754181137645,24.5968066412787,24.0620934534248,24.3544033294516,11943100,0.0,1.0
2010-01-14,34.05,34.52,34.0,34.45,9615500,24.2759787285663,24.6110656596214,24.2403311827094,24.5611590954217,9615500,0.0,1.0
2010-01-15,33.8,34.14,33.63,34.01,7605300,24.0977409992817,24.3401443111088,23.9765393433682,24.2474606918808,7605300,0.0,1.0
2010-01-19,34.34,34.35,33.7,33.85,6801700,24.4827344945365,24.4898640037079,24.0264459075679,24.1333885451386,6801700,0.0,1.0
2010-01-20,33.73,34.0,33.42,33.9,11503800,24.047834435082,24.2403311827094,23.8268196507691,24.1690360909956,11503800,0.0,1.0
2010-01-21,32.27,33.77,32.26,33.77,19816200,23.0069260960598,24.0763524717676,22.9997965868884,24.0763524717676,19816200,0.0,1.0
2010-01-22,31.63,32.57,31.55,32.18,20046900,22.5506375090911,23.2208113712013,22.4936014357201,22.9427605135173,20046900,0.0,1.0
2010-01-25,31.91,32.24,31.795,31.9601,10305100,22.7502637658899,22.9855375685456,22.668274410419,22.7859826068386,10305100,0.0,1.0
2010-01-26,31.46,31.99,31.36,31.56,16783900,22.4294358531776,22.807299839261,22.3581407614637,22.5007309448914,16783900,0.0,1.0
2010-01-27,31.19,31.54,30.65,31.31,19708800,22.2369391055502,22.4864719265487,21.8519456102954,22.3224932156068,19708800,0.0,1.0
2010-01-28,30.63,31.48,30.48,31.39,16370400,21.8376865919526,22.4436948715204,21.7307439543819,22.3795292889779,16370400,0.0,1.0
2010-01-29,30.14,31.315,30.12,30.87,16120700,21.4883406425548,22.3260579701925,21.474081624212,22.0087948120659,16120700,0.0,1.0
2010-02-01,31.34,31.34,30.46,30.46,17273000,22.343881743121,22.343881743121,21.7164849360391,21.7164849360391,17273000,0.0,1.0
2010-02-02,31.44,31.6,31.02,31.48,16039700,22.4151768348348,22.529248981577,22.1157374496366,22.4436948715204,16039700,0.0,1.0
2010-02-03,31.08,31.62,30.98,31.32,18106800,22.158514504665,22.5435079999198,22.0872194129511,22.3296227247782,18106800,0.0,1.0
2010-02-04,29.92,30.75,29.9,30.66,22809000,21.3314914407843,21.9232407020092,21.3172324224415,21.8590751194668,22809000,0.0,1.0
2010-02-05,30.48,30.49,29.48,30.01,32249000,21.7307439543819,21.7378734635532,21.0177930372433,21.3956570233268,32249000,0.0,1.0
2010-02-08,29.99,30.72,29.96,30.54,20472300,21.381398004984,21.9018521744951,21.3600094774698,21.7735210094102,20472300,0.0,1.0
2010-02-09,30.72,31.04,30.25,30.45,28744000,21.9018521744951,22.1299964679794,21.56676524344,21.7093554268677,28744000,0.0,1.0
2010-02-10,30.51,30.82,30.13,30.76,21552600,21.752132481896,21.9731472662089,21.4812111333834,21.9303702111806,21552600,0.0,1.0
2010-02-11,31.03,31.07,30.34,30.49,19472100,22.122866958808,22.1513849954936,21.6309308259825,21.7378734635532,19472100,0.0,1.0
2010-02-12,30.97,31.14,30.34,30.48,19623300,22.0800899037797,22.2012915596933,21.6309308259825,21.7307439543819,19623300,0.0,1.0
2010-02-16,31.75,31.8025,31.34,31.36,10514200,22.6361916191478,22.6736215422975,22.343881743121,22.3581407614637,10514200,0.0,1.0
2010-02-17,31.77,32.09,31.55,31.95,29395400,22.6504506374905,22.8785949309749,22.4936014357201,22.7787818025755,29395400,0.0,1.0
2010-02-18,32.11,32.22,31.6,31.63,19628600,22.8928539493176,22.9712785502029,22.529248981577,22.5506375090911,19628600,0.0,1.0
2010-02-19,32.29,32.46,31.85,31.87,15213500,23.0211851144026,23.1423867703161,22.7074867108616,22.7217457292044,15213500,0.0,1.0
2010-02-22,32.15,32.58,32.03,32.41,11496900,22.9213719860032,23.2279408803727,22.8358178759465,23.1067392244592,11496900,0.0,1.0
2010-02-23,31.64,32.22,31.45,32.05,20080200,22.5577670182625,22.9712785502029,22.4223063440062,22.8500768942893,20080200,0.0,1.0
2010-02-24,31.56,31.955,31.39,31.69,15965400,22.5007309448914,22.7823465571612,22.3795292889779,22.5934145641195,15965400,0.0,1.0
2010-02-25,31.49,31.54,30.79,31.09,20459000,22.4508243806917,22.4864719265487,21.9517587386948,22.1656440138363,20459000,0.0,1.0
2010-02-26,31.5,31.65,31.21,31.65,15333400,22.4579538898631,22.5648965274339,22.251198123893,22.5648965274339,15333400,0.0,1.0
2010-03-01,31.98,32.01,31.5,31.67,19751400,22.8001703300896,22.8215588576038,22.4579538898631,22.5791555457767,19751400,0.0,1.0
2010-03-02,32.25,32.51,32.16,32.23,19429500,22.992667077717,23.178034316173,22.9285014951745,22.9784080593742,19429500,0.0,1.0
2010-03-03,32.53,33.01,32.41,32.45,14108200,23.1922933345158,23.5345097747423,23.1067392244592,23.1352572611447,14108200,0.0,1.0
2010-03-04,32.75,32.87,32.49,32.63,13374000,23.3491425362863,23.4346966463429,23.1637752978303,23.2635884262297,13374000,0.0,1.0
2010-03-05,33.17,33.3833,32.93,33.05,11670300,23.6485819214844,23.8006543521101,23.4774737013712,23.5630278114278,11670300,0.0,1.0
2010-03-08,33.17,33.41,32.99,33.3,14462900,23.6485819214844,23.8196901415977,23.5202507563995,23.7412655407125,14462900,0.0,1.0
2010-03-09,32.96,33.29,32.84,32.97,15458400,23.4988622288854,23.7341360315411,23.4133081188287,23.5059917380567,15458400,0.0,1.0
2010-03-10,32.97,33.25,32.7301,32.97,20825100,23.5059917380567,23.7056179948555,23.3349548130352,23.5059917380567,20825100,0.0,1.0
2010-03-11,33.16,33.16,32.58,32.85,14517300,23.6414524123131,23.6414524123131,23.2279408803727,23.4204376280001,14517300,0.0,1.0
2010-03-12,33.29,33.53,33.22,33.33,11531800,23.7341360315411,23.9052442516543,23.6842294673414,23.7626540682266,11531800,0.0,1.0
2010-03-15,33.28,33.32,33.0,33.27,9495400,23.7270065223697,23.7555245590552,23.5273802655709,23.7198770131983,9495400,0.0,1.0
2010-03-16,33.77,33.77,33.38,33.39,13585800,24.0763524717676,24.0763524717676,23.7983016140835,23.8054311232549,13585800,0.0,1.0
2010-03-17,33.96,34.19,33.85,33.88,8827300,24.2118131460239,24.3757918569657,24.1333885451386,24.1547770726528,8827300,0.0,1.0
2010-03-18,33.72,34.19,33.67,33.97,12124100,24.0407049259106,24.3757918569657,24.0050573800537,24.2189426551953,12124100,0.0,1.0
2010-03-19,33.28,33.92,33.24,33.7,10626400,23.7790091622658,24.2362978000017,23.7504286224073,24.0791048307799,10626400,0.07294,1.0
2010-03-22,33.77,33.805,32.85,33.01,11267200,24.1291207755323,24.1541287479085,23.471768358787,23.5860905182209,11267200,0.0,1.0
2010-03-23,34.21,34.21,33.61,33.8,14731300,24.4435067139757,24.4435067139757,24.0147986160983,24.1505561804262,14731300,0.0,1.0
2010-03-24,34.11,34.33,33.89,33.99,8452400,24.3720553643295,24.5292483335512,24.2148623951078,24.286313744754,8452400,0.0,1.0
2010-03-25,33.43,34.42,33.4,34.42,19040200,23.8861861867351,24.5935545482328,23.8647507818412,24.5935545482328,19040200,0.0,1.0
2010-03-26,33.68,33.99,33.45,33.58,15472400,24.0648145608507,24.286313744754,23.9004764566644,23.9933632112045,15472400,0.0,1.0
2010-03-29,34.04,34.2,33.87,34.0,8591700,24.3220394195771,24.4363615790111,24.2005721251785,24.2934588797186,8591700,0.0,1.0
2010-03-30,34.09,34.33,33.85,34.02,8463200,24.3577650944002,24.5292483335512,24.1862818552493,24.3077491496479,8463200,0.0,1.0
2010-03-31,33.92,34.21,33.82,34.01,7774600,24.2362978000017,24.4435067139757,24.1648464503554,24.3006040146833,7774600,0.0,1.0
2010-04-01,34.51,34.56,34.215,34.26,7970900,24.6578607629144,24.6935864377375,24.447079281458,24.4792323887988,7970900,0.0,1.0
2010-04-05,34.93,34.94,34.49,34.61,6589300,24.9579564314286,24.9651015663932,24.6435704929852,24.7293121125606,6589300,0.0,1.0
2010-04-06,34.99,35.1,34.75,34.76,8607500,25.0008272412163,25.0794237258272,24.8293440020654,24.83648913703,8607500,0.0,1.0
2010-04-07,34.77,35.16,34.5862,34.87,10378200,24.8436342719946,25.1222945356149,24.7123066913448,24.9150856216408,10378200,0.0,1.0
2010-04-08,34.85,34.88,34.4,34.55,8287600,24.9007953517116,24.9222307566055,24.5792642783036,24.6864413027729,8287600,0.0,1.0
2010-04-09,34.91,35.0,34.71,35.0,8372900,24.9436661614993,25.0079723761809,24.8007634622069,25.0079723761809,8372900,0.0,1.0
2010-04-12,34.8,35.03,34.6975,34.93,5752400,24.8650696768885,25.0294077810748,24.7918320435011,24.9579564314286,5752400,0.0,1.0
2010-04-13,34.67,34.77,34.44,34.68,7053700,24.7721829223484,24.8436342719946,24.6078448181621,24.779328057313,7053700,0.0,1.0
2010-04-14,34.93,34.94,34.68,34.83,7314100,24.9579564314286,24.9651015663932,24.779328057313,24.8865050817824,7314100,0.0,1.0
2010-04-15,34.93,35.02,34.74,34.88,7527500,24.9579564314286,25.0222626461102,24.8221988671007,24.9222307566055,7527500,0.0,1.0
2010-04-16,34.33,34.92,34.05,34.75,16872600,24.5292483335512,24.950811296464,24.3291845545417,24.8293440020654,16872600,0.0,1.0
2010-04-19,34.34,34.39,33.74,34.07,11292900,24.5363934685158,24.5721191433389,24.1076853706384,24.343474824471,11292900,0.0,1.0
2010-04-20,34.449,34.72,34.3,34.61,5805300,24.6142754396302,24.8079085971715,24.5078129286573,24.7293121125606,5805300,0.0,1.0
2010-04-21,34.36,34.52,34.02,34.52,11032000,24.5506837384451,24.665005897879,24.3077491496479,24.665005897879,11032000,0.0,1.0
2010-04-22,34.7,34.7,33.8,34.11,5921500,24.7936183272423,24.7936183272423,24.1505561804262,24.3720553643295,5921500,0.0,1.0
2010-04-23,35.01,35.14,34.63,34.66,9846000,25.0151175111456,25.1080042656857,24.7436023824899,24.7650377873838,9846000,0.0,1.0
2010-04-26,35.16,35.47,35.05,35.24,7025100,25.1222945356149,25.3437937195182,25.0436980510041,25.1794556153319,7025100,0.0,1.0
2010-04-27,33.88,35.06,33.88,35.01,16039100,24.2077172601432,25.0508431859687,24.2077172601432,25.0151175111456,16039100,0.0,1.0
2010-04-28,34.29,34.45,33.91,34.2,16037700,24.5006677936927,24.6149899531267,24.229152665037,24.4363615790111,16037700,0.0,1.0
2010-04-29,34.6,34.715,34.34,34.49,10019000,24.722166977596,24.8043360296892,24.5363934685158,24.6435704929852,10019000,0.0,1.0
2010-04-30,33.99,34.8,33.98,34.7,10940900,24.286313744754,24.8650696768885,24.2791686097894,24.7936183272423,10940900,0.0,1.0
2010-05-03,33.97,34.24,33.64,34.08,11190200,24.2720234748248,24.4649421188696,24.0362340209922,24.3506199594356,11190200,0.0,1.0
2010-05-04,32.79,33.52,32.56,33.49,26987000,23.4288975489992,23.9504924014167,23.2645594448129,23.9290569965229,26987000,0.0,1.0
2010-05-05,32.55,33.005,32.13,32.28,17603200,23.2574143098483,23.5825179507386,22.9573186413341,23.0644956658035,17603200,0.0,1.0
2010-05-06,31.48,32.92,29.48,32.29,27430000,22.4928848686336,23.5217843035393,21.063857875709,23.0716408007681,27430000,0.0,1.0
2010-05-07,31.13,32.04,30.66,31.52,27338400,22.2428051448718,22.8930124266525,21.9069838015345,22.5214654084921,27338400,0.0,1.0
2010-05-10,32.61,32.7,32.22,32.39,18037400,23.300285119636,23.3645913343176,23.0216248560157,23.1430921504143,18037400,0.0,1.0
2010-05-11,32.2,32.66,32.14,32.25,14382700,23.0073345860865,23.3360107944591,22.9644637762987,23.0430602609096,14382700,0.0,1.0
2010-05-12,32.87,32.885,32.34,32.4,12932300,23.4860586287162,23.4967763311632,23.1073664755912,23.1502372853789,12932300,0.0,1.0
2010-05-13,32.38,33.06,32.36,32.79,13342500,23.1359470154497,23.6218161930441,23.1216567455204,23.4288975489992,13342500,0.0,1.0
2010-05-14,31.59,32.17,31.32,32.17,20233500,22.5714813532445,22.9858991811926,22.3785627091996,22.9858991811926,20233500,0.0,1.0
2010-05-17,31.59,31.91,30.83,31.72,18782900,22.5714813532445,22.8001256721124,22.0284510959331,22.6643681077846,18782900,0.0,1.0
2010-05-18,31.05,32.35,31.05,31.87,23399000,22.1856440651548,23.1145116105558,22.1856440651548,22.7715451322539,23399000,0.0,1.0
2010-05-19,31.05,31.145,30.35,30.84,23750200,22.1856440651548,22.2535228473187,21.6854846176312,22.0355962308977,23750200,0.0,1.0
2010-05-20,29.64,30.42,29.61,30.08,27629000,21.178180035143,21.7355005623836,21.1567446302491,21.4925659735864,27629000,0.0,1.0
2010-05-21,30.37,30.49,29.1,29.15,19505200,21.6997748875604,21.7855165071359,20.7923427470533,20.8280684218764,19505200,0.0,1.0
2010-05-24,29.85,30.48,29.85,30.24,13566800,21.3282278694,21.7783713721713,21.3282278694,21.6068881330203,13566800,0.0,1.0
2010-05-25,30.35,30.4,28.87,29.04,18821600,21.6854846176312,21.7212102924543,20.628004642867,20.7494719372656,18821600,0.0,1.0
2010-05-26,30.11,30.875,30.01,30.65,13437300,21.5140013784802,22.0606042032739,21.442550028834,21.8998386665699,13437300,0.0,1.0
2010-05-27,31.3,31.33,30.35,30.75,14691400,22.3642724392704,22.3857078441643,21.6854846176312,21.9712900162161,14691400,0.0,1.0
2010-05-28,30.75,31.27,30.53,31.22,14740900,21.9712900162161,22.3428370343765,21.8140970469944,22.3071113595534,14740900,0.0,1.0
2010-06-01,29.76,30.81,29.71,30.44,15771100,21.2639216547184,22.0141608260039,21.2281959798953,21.7497908323128,15771100,0.0,1.0
2010-06-02,30.68,30.68,29.9,30.0,8751800,21.9212740714638,21.9212740714638,21.3639535442232,21.4354048938694,8751800,0.0,1.0
2010-06-03,30.31,30.95,29.95,30.95,12639700,21.6569040777727,22.1141927155086,21.3996792190463,22.1141927155086,12639700,0.0,1.0
2010-06-04,29.11,29.97,29.04,29.73,15356900,20.7994878820179,21.4139694889755,20.7494719372656,21.2424862498246,15356900,0.0,1.0
2010-06-07,28.59,29.37,28.57,29.13,12510500,20.4279408638575,20.9852613910981,20.4136505939283,20.8137781519472,12510500,0.0,1.0
2010-06-08,29.24,29.35,28.55,28.74,21835000,20.892374636558,20.9709711211689,20.399360323999,20.5351178883269,21835000,0.0,1.0
2010-06-09,29.28,29.97,29.08,29.63,13833000,20.9209551764165,21.4139694889755,20.7780524771241,21.1710349001783,13833000,0.0,1.0
2010-06-10,30.33,30.33,29.78,29.83,10798600,21.6711943477019,21.6711943477019,21.2782119246477,21.3139375994708,10798600,0.0,1.0
2010-06-11,30.67,30.6701,29.98,30.01,7978400,21.9141289364991,21.9142003878488,21.4211146239401,21.442550028834,7978400,0.0,1.0
2010-06-14,30.37,31.06,30.32,30.95,9101100,21.6997748875604,22.1927892001194,21.6640492127373,22.1141927155086,9101100,0.0,1.0
2010-06-15,31.12,31.15,30.53,30.64,7054800,22.2356600099072,22.257095414801,21.8140970469944,21.8926935316053,7054800,0.0,1.0
