date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2010-01-04,58.81,58.81,57.79,57.92,16928400,35.0165376584504,35.0165376584504,34.4092112103698,34.4866155615958,16928400,0.0,1.0
2010-01-05,59.29,59.41,58.62,58.89,17368100,35.3023383399001,35.3737885102625,34.9034082220432,35.0641711053587,17368100,0.0,1.0
2010-01-06,60.0,60.18,59.1899,59.32,24351900,35.7250851812111,35.8322604367547,35.2427369894561,35.3202008824907,24351900,0.0,1.0
2010-01-07,59.91,60.01,59.3,59.74,17449500,35.6714975534393,35.7310393620746,35.3082925207636,35.5702764787592,17449500,0.0,1.0
2010-01-08,60.3,60.35,59.49,59.7,13344300,35.9037106071172,35.9334815114348,35.4214219571708,35.5464597553051,13344300,0.0,1.0
2010-01-11,60.22,60.87,59.73,60.69,19459900,35.8560771602089,36.2430989163387,35.5643222978957,36.135923660795,19459900,0.0,1.0
2010-01-12,59.35,59.7099,59.04,59.3,21510600,35.3380634250813,35.5523543943599,35.1534838183117,35.3082925207636,21510600,0.0,1.0
2010-01-13,59.57,59.8,58.52,59.32,22137500,35.4690554040791,35.6060015639404,34.8438664134079,35.3202008824907,22137500,0.0,1.0
2010-01-14,59.74,59.89,59.33,59.56,15545400,35.5702764787592,35.6595891917122,35.3261550633542,35.4631012232156,15545400,0.0,1.0
2010-01-15,59.26,59.8,58.85,59.67,19055200,35.2844757973095,35.6060015639404,35.0403543819046,35.5285972127144,19055200,0.0,1.0
2010-01-19,59.8,59.9,58.99,59.1,14613100,35.6060015639404,35.6655433725758,35.1237129139941,35.1892089034929,14613100,0.0,1.0
2010-01-20,58.87,59.16,58.42,59.16,15641700,35.0522627436316,35.2249339886741,34.7843246047725,35.2249339886741,15641700,0.0,1.0
2010-01-21,57.67,59.1,57.53,58.92,25206600,34.3377610400074,35.1892089034929,34.2544025079179,35.0820336479493,25206600,0.0,1.0
2010-01-22,56.3,57.72,56.14,57.39,23028600,33.5220382617031,34.3675319443251,33.4267713678865,34.1710439758284,23028600,0.0,1.0
2010-01-25,56.67,57.22,56.49,56.68,15901200,33.7423429536539,34.0698229011483,33.6351676981103,33.7482971345174,15901200,0.0,1.0
2010-01-26,56.31,57.3,55.92,56.2,21515300,33.5279924425666,34.1174563480566,33.2957793888887,33.4624964530677,21515300,0.0,1.0
2010-01-27,56.09,56.65,55.18,56.15,26616700,33.3970004635689,33.7304345919268,32.8551700049871,33.4327255487501,26616700,0.0,1.0
2010-01-28,55.5,56.62,54.8,56.5,34430700,33.0457037926203,33.7125720493362,32.6289111321728,33.6411218789738,34430700,0.0,1.0
2010-01-29,54.5,56.46,54.22,55.91,32802700,32.4502857062668,33.6173051555197,32.2835686420878,33.2898252080252,32802700,0.0,1.0
2010-02-01,56.3,56.31,55.11,55.15,21813300,33.5220382617031,33.5279924425666,32.8134907389424,32.8373074623965,21813300,0.0,1.0
2010-02-02,57.04,57.14,56.05,56.51,22250800,33.9626476456047,34.02218945424,33.3731837401147,33.6470760598373,22250800,0.0,1.0
2010-02-03,56.55,57.351,56.42,56.88,19749300,33.6708927832915,34.1478226704606,33.5934884320655,33.8673807517881,19749300,0.0,1.0
2010-02-04,54.23,56.115,54.2,56.1,37173200,32.2895228229513,33.4118859157277,32.2716602803607,33.4029546444324,37173200,0.0,1.0
2010-02-05,54.24,54.48,52.67,54.22,46378400,32.2954770038148,32.4383773445397,31.3606706082398,32.2835686420878,46378400,0.0,1.0
2010-02-08,53.74,54.89,53.73,54.25,24115100,31.9977679606381,32.6824987599446,31.9918137797745,32.3014311846784,24115100,0.0,1.0
2010-02-09,54.87,55.56,54.31,54.48,33558100,32.6705903982176,33.0814288778015,32.3371562698596,32.4383773445397,33558100,0.0,1.0
2010-02-10,54.64,54.979,53.78,54.89,24182300,32.5336442383562,32.7354909696301,32.0215846840922,32.6824987599446,24182300,0.0,1.0
2010-02-11,55.57,55.685,54.29,54.53,22944500,33.087383058665,33.1558561385957,32.3252479081325,32.4681482488574,22944500,0.0,1.0
2010-02-12,55.59,55.62,54.54,54.9,19833900,33.0992914203921,33.1171539629827,32.4741024297209,32.6884529408082,19833900,0.0,1.0
2010-02-16,56.9,57.1,56.2399,56.3,19834900,33.8792891135152,33.9983727307859,33.4862536347132,33.5220382617031,19834900,0.0,1.0
2010-02-17,56.82,57.18,56.44,57.06,18137800,33.8316556666069,34.0460061776942,33.6053967937926,33.9745560073318,18137800,0.0,1.0
2010-02-18,57.14,57.28,56.48,56.76,16572700,34.02218945424,34.1055479863295,33.6292135172467,33.7959305814257,16572700,0.0,1.0
2010-02-19,57.36,57.565,56.66,56.93,16498300,34.1531814332378,34.2752421409403,33.7363887727903,33.8971516561058,16498300,0.0,1.0
2010-02-22,56.57,57.51,56.45,57.5,17349700,33.6828011450185,34.2424941461908,33.6113509746561,34.2365399653273,17349700,0.0,1.0
2010-02-23,55.63,56.44,55.37,56.3,21101200,33.1231081438462,33.6053967937926,32.9682994413943,33.5220382617031,21101200,0.0,1.0
2010-02-24,55.98,56.19,55.44,55.61,17630300,33.33150447407,33.4565422722042,33.0099787074391,33.1111997821192,17630300,0.0,1.0
2010-02-25,56.01,56.04,54.72,55.18,20948100,33.3493670166606,33.3672295592512,32.5812776852645,32.8551700049871,20948100,0.0,1.0
2010-02-26,56.14,56.34,55.65,56.14,17246800,33.4267713678865,33.5458549851572,33.1350165055733,33.4267713678865,17246800,0.0,1.0
2010-03-01,56.66,56.8,56.35,56.4,13966000,33.7363887727903,33.8197473048798,33.5518091660208,33.5815800703384,13966000,0.0,1.0
2010-03-02,57.13,57.56,56.91,57.03,16746300,34.0162352733765,34.2722650505085,33.8852432943787,33.9566934647412,16746300,0.0,1.0
2010-03-03,57.38,57.88,57.35,57.35,16767300,34.1650897949649,34.4627988381416,34.1472272523743,34.1472272523743,16767300,0.0,1.0
2010-03-04,57.08,57.65,56.84,57.47,16331000,33.9864643690588,34.3258526782803,33.843564028334,34.2186774227367,16331000,0.0,1.0
2010-03-05,58.15,58.28,57.58,57.64,15335200,34.6235617214571,34.7009660726831,34.2841734122356,34.3198984974168,15335200,0.0,1.0
2010-03-08,58.06,58.51,57.815,58.31,12612000,34.5699740936853,34.8379122325444,34.4240966625287,34.7188286152737,12612000,0.0,1.0
