date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-10-08,30.21,30.21,30.01,30.01,2000,21.4091023517163,21.4091023517163,21.267367149123,21.267367149123,2000,0.0,1.0
2015-10-09,30.16,30.2,30.06,30.2,4335,21.373668551068,21.4020155915866,21.3028009497713,21.4020155915866,4335,0.0,1.0
2015-10-12,30.3499,30.42,30.27,30.4199,2250,21.5082461259303,21.5579243144392,21.4516229124943,21.5578534468379,2250,0.0,1.0
2015-10-13,30.16,30.16,30.16,30.16,508,21.373668551068,21.373668551068,21.373668551068,21.373668551068,508,0.0,1.0
2015-10-14,30.16,30.16,30.16,30.16,0,21.373668551068,21.373668551068,21.373668551068,21.373668551068,0,0.0,1.0
2015-10-15,30.07,30.07,30.03,30.03,2515,21.309887709901,21.309887709901,21.2815406693823,21.2815406693823,2515,0.0,1.0
2015-10-16,30.642,30.66,30.5958,30.5958,400,21.7152503893178,21.7280065575512,21.6825095575187,21.6825095575187,400,0.0,1.0
2015-10-19,30.9999,31.01,30.7,30.7,2001,21.9688855343585,21.9760431620894,21.7563535980698,21.7563535980698,2001,0.0,1.0
2015-10-20,31.03,31.36,30.99,31.36,3240,21.9902166823488,22.2240797666277,21.9618696418301,22.2240797666277,3240,0.0,1.0
2015-10-21,31.055,31.055,31.055,31.055,400,22.0079335826729,22.0079335826729,22.0079335826729,22.0079335826729,400,0.0,1.0
2015-10-22,31.4475,31.4625,31.177,31.18,2180,22.2860889177623,22.2967190579568,22.0943920562548,22.0965180842937,2180,0.0,1.0
2015-10-23,31.07,31.07,30.94,31.0526,3548,22.0185637228674,22.0185637228674,21.9264358411818,22.0062327602418,3548,0.0,1.0
2015-10-26,31.11,31.12,31.028,31.028,576,22.0469107633861,22.0539975235158,21.9887993303228,21.9887993303228,576,0.0,1.0
2015-10-27,31.1183,31.12,31.0,31.06,3350,22.0527927742937,22.0539975235158,21.9689564019598,22.0114769627378,3350,0.0,1.0
2015-10-28,31.005,31.33,31.005,31.24,3210,21.9724997820246,22.2028194862387,21.9724997820246,22.1390386450717,3210,0.0,1.0
2015-10-29,31.146,31.146,31.01,31.03,3906,22.0724230998529,22.0724230998529,21.9760431620894,21.9902166823488,3906,0.0,1.0
2015-10-30,30.95,30.95,30.95,30.95,211,21.9335226013115,21.9335226013115,21.9335226013115,21.9335226013115,211,0.0,1.0
2015-11-02,30.95,30.95,30.95,30.95,35,21.9335226013115,21.9335226013115,21.9335226013115,21.9335226013115,35,0.0,1.0
2015-11-03,31.35,31.6,31.32,31.6,520,22.216993006498,22.3941620097396,22.195732726109,22.3941620097396,520,0.0,1.0
2015-11-04,31.22,31.52,31.22,31.52,1850,22.1248651248124,22.3374679287023,22.1248651248124,22.3374679287023,1850,0.0,1.0
2015-11-05,31.1,31.28,30.95,31.28,23810,22.0398240032564,22.1673856855904,21.9335226013115,22.1673856855904,23810,0.0,1.0
2015-11-06,29.95,30.38,29.95,30.38,9031,21.224846588345,21.5295772739206,21.224846588345,21.5295772739206,9031,0.0,1.0
2015-11-09,29.71,30.1036,29.6,30.0601,45453,21.0547643452331,21.3336992239367,20.9768099838068,21.3028718173726,45453,0.0,1.0
2015-11-10,30.03,30.11,29.85,30.11,27240,21.2815406693823,21.3382347504196,21.1539789870484,21.3382347504196,27240,0.0,1.0
2015-11-11,30.1339,30.26,29.99,30.105,27147,21.3551721071295,21.4445361523646,21.2531936288637,21.3346913703548,27147,0.0,1.0
2015-11-12,29.95,30.08,29.86,29.86,63887,21.224846588345,21.3169744700306,21.161065747178,21.161065747178,63887,0.0,1.0
2015-11-13,29.56,29.87,29.556,29.82,47674,20.9484629432881,21.1681525073077,20.9456282392362,21.1327187066594,47674,0.0,1.0
2015-11-16,29.53,29.62,29.53,29.53,4200,20.9272026628991,20.9909835040661,20.9272026628991,20.9272026628991,4200,0.0,1.0
2015-11-17,29.99,30.18,29.93,30.0,25680,21.2531936288637,21.3878420713273,21.2106730680857,21.2602803889933,25680,0.0,1.0
2015-11-18,30.3448,30.3448,26.7,29.64,28556,21.5046318782642,21.5046318782642,18.9216495462041,21.0051570243254,28556,0.0,1.0
2015-11-19,30.51,30.55,30.41,30.41,3517,21.6217051556062,21.6500521961249,21.5508375543096,21.5508375543096,3517,0.0,1.0
2015-11-20,30.76,30.77,30.71,30.71,597,21.7988741588478,21.8059609189775,21.7634403581995,21.7634403581995,597,0.0,1.0
2015-11-23,30.92,31.012,30.92,30.97,2392,21.9122623209225,21.9774605141154,21.9122623209225,21.9476961215708,2392,0.0,1.0
2015-11-24,30.45,31.02,30.45,31.02,2524,21.5791845948282,21.9831299222191,21.5791845948282,21.9831299222191,2524,0.0,1.0
2015-11-25,30.45,30.45,30.45,30.45,33,21.5791845948282,21.5791845948282,21.5791845948282,21.5791845948282,33,0.0,1.0
2015-11-27,30.45,30.45,30.45,30.45,0,21.5791845948282,21.5791845948282,21.5791845948282,21.5791845948282,0,0.0,1.0
2015-11-30,30.75,31.0,30.7223,31.0,1627,21.7917873987182,21.9689564019598,21.772157073159,21.9689564019598,1627,0.0,1.0
2015-12-01,31.2586,31.2586,30.98,30.98,5557,22.1522200189129,22.1522200189129,21.9547828817004,21.9547828817004,5557,0.0,1.0
2015-12-02,30.62,31.22,30.62,31.11,4397,21.6996595170325,22.1248651248124,21.6996595170325,22.0469107633861,4397,0.0,1.0
2015-12-03,30.01,30.37,30.01,30.37,776,21.267367149123,21.5224905137909,21.267367149123,21.5224905137909,776,0.0,1.0
2015-12-04,30.62,30.83,30.31,30.31,4378,21.6996595170325,21.8484814797555,21.4799699530129,21.4799699530129,4378,0.0,1.0
2015-12-07,30.62,30.62,30.62,30.62,25,21.6996595170325,21.6996595170325,21.6996595170325,21.6996595170325,25,0.0,1.0
2015-12-08,30.72,30.76,29.92,30.28,4645,21.7705271183292,21.7988741588478,21.203586307956,21.4587096726239,4645,0.0,1.0
2015-12-09,30.55,30.55,30.51,30.51,643,21.6500521961249,21.6500521961249,21.6217051556062,21.6217051556062,643,0.0,1.0
2015-12-10,30.3,30.3,30.3,30.3,660,21.4728831928833,21.4728831928833,21.4728831928833,21.4728831928833,660,0.0,1.0
2015-12-11,30.1382,30.18,30.1382,30.18,330,21.3582194139853,21.3878420713273,21.3582194139853,21.3878420713273,330,0.0,1.0
2015-12-14,30.2312,30.27,30.09,30.1,628,21.4241262831912,21.4516229124943,21.3240612301603,21.33114799029,628,0.0,1.0
2015-12-15,30.58,30.79,30.58,30.723,4147,21.6713124765139,21.8201344392368,21.6713124765139,21.7726531463681,4147,0.0,1.0
2015-12-16,31.13,31.13,30.86,30.86,1618,22.0610842836454,22.0610842836454,21.8697417601445,21.8697417601445,1618,0.0,1.0
2015-12-17,31.09,31.46,31.0578,31.46,2420,22.0327372431268,22.2949473679243,22.0099178755092,22.2949473679243,2420,0.0,1.0
2015-12-18,30.35,30.59,30.35,30.5626,1372,21.7493015630648,21.9212894502192,21.7493015630648,21.9016541664357,1372,0.340049,1.0
2015-12-21,30.4,30.456,30.4,30.456,485,21.7851323728886,21.8252628798913,21.7851323728886,21.8252628798913,485,0.0,1.0
2015-12-22,30.68,30.68,30.68,30.68,201,21.9857849079021,21.9857849079021,21.9857849079021,21.9857849079021,201,0.0,1.0
2015-12-23,30.98,30.98,30.75,30.75,4493,22.2007697668451,22.2007697668451,22.0359480416555,22.0359480416555,4493,0.0,1.0
2015-12-24,31.01,31.01,30.8557,30.8557,330,22.2222682527394,22.2222682527394,22.111694373623,22.111694373623,330,0.0,1.0
2015-12-28,30.9272,31.03,30.92,31.03,2126,22.1629324316711,22.2366005766689,22.1577727950565,22.2366005766689,2126,0.0,1.0
2015-12-29,31.44,31.49,31.25,31.25,3457,22.5304132172243,22.5662440270481,22.3942561398938,22.3942561398938,3457,0.0,1.0
2015-12-30,31.4399,31.59,31.4399,31.57,2037,22.5303415556047,22.6379056466958,22.5303415556047,22.6235733227663,2037,0.0,1.0
